"ide_entrada","ide_portaria","des_portaria","tim_entrada","data_entrada","hora_minuto_entrada","ide_destino","desdestinoGenerico"
2064341,3,Anexo III,2025-10-28 18:42:02.917,28/10/2025,"18:42",,ESTACIONAMENTO 
2064342,2,Anexo II - A,2025-10-28 18:42:24.190,28/10/2025,"18:42",,CONLE
2064331,8,Anexo IV - G,2025-10-28 18:33:52.813,28/10/2025,"18:33",,Dep. Julio Lopes- Anexo: 4 Gabinete: 428
2064332,4,Anexo IV - A,2025-10-28 18:34:16.233,28/10/2025,"18:34",,Dep. José Airton Félix Cirilo- Anexo: 4 Gabinete: 319
2064333,5,Chapelaria,2025-10-28 18:34:41.497,28/10/2025,"18:34",,Dep. Leonardo Monteiro- Anexo: 4 Gabinete: 922
2064334,5,Chapelaria,2025-10-28 18:34:45.210,28/10/2025,"18:34",,Dep. Leonardo Monteiro- Anexo: 4 Gabinete: 922
2064335,4,Anexo IV - A,2025-10-28 18:36:45.797,28/10/2025,"18:36",,Dep. João Carlos Bacelar- Anexo: 4 Gabinete: 928
2064336,4,Anexo IV - A,2025-10-28 18:38:02.027,28/10/2025,"18:38",25,Restaurante SENAC
2064325,5,Chapelaria,2025-10-28 18:28:45.303,28/10/2025,"18:28",,CMO
2064326,4,Anexo IV - A,2025-10-28 18:28:51.523,28/10/2025,"18:28",,Dep. Iza Arruda- Anexo: 4 Gabinete: 828
2064327,3,Anexo III,2025-10-28 18:29:17.323,28/10/2025,"18:29",,Dep. Daniela Reinehr- Anexo: 3 Gabinete: 677
2064328,8,Anexo IV - G,2025-10-28 18:29:40.793,28/10/2025,"18:29",,Dep. Luiz Carlos Motta- Anexo: 4 Gabinete: 818
2064329,2,Anexo II - A,2025-10-28 18:33:43.107,28/10/2025,"18:33",,banheiro
2064330,2,Anexo II - A,2025-10-28 18:33:49.673,28/10/2025,"18:33",15,Plenário 15
2064319,4,Anexo IV - A,2025-10-28 18:22:57.543,28/10/2025,"18:22",,Dep. Fábio Macedo- Anexo: 4 Gabinete: 515
2064320,4,Anexo IV - A,2025-10-28 18:23:03.563,28/10/2025,"18:23",,Dep. Ana Paula Lima- Anexo: 4 Gabinete: 206
2064321,4,Anexo IV - A,2025-10-28 18:24:01.127,28/10/2025,"18:24",,Dep. Luiz Fernando Faria- Anexo: 4 Gabinete: 916
2064322,4,Anexo IV - A,2025-10-28 18:24:15.450,28/10/2025,"18:24",50,Rádio Câmara
2064323,4,Anexo IV - A,2025-10-28 18:25:15.787,28/10/2025,"18:25",,Liderança Avante
2064324,4,Anexo IV - A,2025-10-28 18:26:46.543,28/10/2025,"18:26",,Dep. Rodrigo Rollemberg- Anexo: 4 Gabinete: 542
2064313,5,Chapelaria,2025-10-28 18:21:42.463,28/10/2025,"18:21",,Liderança PT
2064314,4,Anexo IV - A,2025-10-28 18:22:07.877,28/10/2025,"18:22",,Dep. Ana Paula Lima- Anexo: 4 Gabinete: 206
2064315,4,Anexo IV - A,2025-10-28 18:22:17.980,28/10/2025,"18:22",,Dep. Ana Paula Lima- Anexo: 4 Gabinete: 206
2064316,4,Anexo IV - A,2025-10-28 18:22:34.907,28/10/2025,"18:22",,Dep. Ana Paula Lima- Anexo: 4 Gabinete: 206
2064317,4,Anexo IV - A,2025-10-28 18:22:49.810,28/10/2025,"18:22",,Liderança PT
2064318,8,Anexo IV - G,2025-10-28 18:22:50.397,28/10/2025,"18:22",,Sala: 12
2064307,2,Anexo II - A,2025-10-28 18:17:05.220,28/10/2025,"18:17",13,Plenário 13
2064308,2,Anexo II - A,2025-10-28 18:17:09.783,28/10/2025,"18:17",13,Plenário 13
2064309,4,Anexo IV - A,2025-10-28 18:17:43.970,28/10/2025,"18:17",,Dep. Daniel Almeida- Anexo: 4 Gabinete: 317
2064310,4,Anexo IV - A,2025-10-28 18:17:51.523,28/10/2025,"18:17",,Dep. Daniel Almeida- Anexo: 4 Gabinete: 317
2064311,4,Anexo IV - A,2025-10-28 18:20:34.307,28/10/2025,"18:20",,liderança avante
2064312,4,Anexo IV - A,2025-10-28 18:21:01.267,28/10/2025,"18:21",,Dep. Newton Cardoso Jr- Anexo: 4 Gabinete: 932
2064301,3,Anexo III,2025-10-28 18:14:05.603,28/10/2025,"18:14",4,Plenário 4
2064302,8,Anexo IV - G,2025-10-28 18:14:34.430,28/10/2025,"18:14",,Dep. Paulo Pimenta- Anexo: 4 Gabinete: 552
2064303,5,Chapelaria,2025-10-28 18:14:47.277,28/10/2025,"18:14",,WC
2064304,4,Anexo IV - A,2025-10-28 18:14:47.500,28/10/2025,"18:14",,Dep. Neto Carletto- Anexo: 4 Gabinete: 262
2064305,4,Anexo IV - A,2025-10-28 18:15:13.867,28/10/2025,"18:15",,Dep. Renilce Nicodemos- Anexo: 4 Gabinete: 822
2064306,5,Chapelaria,2025-10-28 18:16:04.650,28/10/2025,"18:16",,Liderança da rede
2064295,4,Anexo IV - A,2025-10-28 18:10:48.413,28/10/2025,"18:10",,Dep. Luiz Couto- Anexo: 4 Gabinete: 442
2064296,5,Chapelaria,2025-10-28 18:11:42.287,28/10/2025,"18:11",,LID PT
2064297,4,Anexo IV - A,2025-10-28 18:11:54.170,28/10/2025,"18:11",,Dep. Alexandre Guimarães- Anexo: 4 Gabinete: 941
2064298,4,Anexo IV - A,2025-10-28 18:11:57.343,28/10/2025,"18:11",,Dep. Dr. Luiz Ovando- Anexo: 4 Gabinete: 644
2064299,4,Anexo IV - A,2025-10-28 18:11:57.867,28/10/2025,"18:11",,Dep. Alexandre Guimarães- Anexo: 4 Gabinete: 941
2064300,4,Anexo IV - A,2025-10-28 18:13:16.160,28/10/2025,"18:13",,Liderança Republicano
2064289,2,Anexo II - A,2025-10-28 18:05:31.303,28/10/2025,"18:05",,Liderança Governo
2064290,5,Chapelaria,2025-10-28 18:06:58.763,28/10/2025,"18:06",29,Salão Verde
2064291,5,Chapelaria,2025-10-28 18:07:00.817,28/10/2025,"18:07",29,Salão Verde
2064292,5,Chapelaria,2025-10-28 18:07:41.490,28/10/2025,"18:07",,lid podemos
2064293,4,Anexo IV - A,2025-10-28 18:09:55.010,28/10/2025,"18:09",,Liderança Avante
2064294,4,Anexo IV - A,2025-10-28 18:10:30.340,28/10/2025,"18:10",,Dep. Newton Cardoso Jr- Anexo: 4 Gabinete: 932
2064283,4,Anexo IV - A,2025-10-28 18:02:46.563,28/10/2025,"18:02",,Dep. Hildo Rocha- Anexo: 4 Gabinete: 734
2064284,4,Anexo IV - A,2025-10-28 18:02:58.383,28/10/2025,"18:02",,Dep. Benes Leocádio- Anexo: 4 Gabinete: 724
2064285,3,Anexo III,2025-10-28 18:03:01.277,28/10/2025,"18:03",,Dep. Vicentinho- Anexo: 3 Gabinete: 684
2064286,4,Anexo IV - A,2025-10-28 18:03:34.920,28/10/2025,"18:03",,Dep. Marangoni- Anexo: 4 Gabinete: 609
2064287,4,Anexo IV - A,2025-10-28 18:03:54.613,28/10/2025,"18:03",,Dep. Gilberto Abramo- Anexo: 4 Gabinete: 601
2064288,3,Anexo III,2025-10-28 18:03:55.287,28/10/2025,"18:03",,Dep. Vicentinho- Anexo: 3 Gabinete: 684
2064277,2,Anexo II - A,2025-10-28 18:00:32.673,28/10/2025,"18:00",4,Plenário 4
2064278,2,Anexo II - A,2025-10-28 18:01:47.600,28/10/2025,"18:01",,LIDERNÇA PSDB
2064279,2,Anexo II - A,2025-10-28 18:02:02.350,28/10/2025,"18:02",,Dep. Hildo Rocha- Anexo: 4 Gabinete: 734
2064280,2,Anexo II - A,2025-10-28 18:02:14.343,28/10/2025,"18:02",,Dep. Hildo Rocha- Anexo: 4 Gabinete: 734
2064281,3,Anexo III,2025-10-28 18:02:22.940,28/10/2025,"18:02",,Dep. Vicentinho- Anexo: 3 Gabinete: 684
2064282,2,Anexo II - A,2025-10-28 18:02:27.197,28/10/2025,"18:02",,LIDERNÇA PSDB
2064269,4,Anexo IV - A,2025-10-28 17:54:33.550,28/10/2025,"17:54",,Dep. Rafael Prudente- Anexo: 4 Gabinete: 260
2064271,4,Anexo IV - A,2025-10-28 17:55:14.263,28/10/2025,"17:55",,Dep. Celso Russomanno- Anexo: 4 Gabinete: 960
2064273,3,Anexo III,2025-10-28 17:57:59.570,28/10/2025,"17:57",,LANCHONETE
2064274,2,Anexo II - A,2025-10-28 17:58:32.910,28/10/2025,"17:58",4,Plenário 4
2064275,2,Anexo II - A,2025-10-28 17:59:34.427,28/10/2025,"17:59",11,Plenário 11
2064276,4,Anexo IV - A,2025-10-28 18:00:24.773,28/10/2025,"18:00",,Dep. Célia Xakriabá- Anexo: 4 Gabinete: 619
2064263,4,Anexo IV - A,2025-10-28 17:53:08.733,28/10/2025,"17:53",,Dep. Marangoni- Anexo: 4 Gabinete: 609
2064264,5,Chapelaria,2025-10-28 17:53:37.013,28/10/2025,"17:53",,Liderança PP
2064265,4,Anexo IV - A,2025-10-28 17:53:44.090,28/10/2025,"17:53",,Plenário 9
2064266,4,Anexo IV - A,2025-10-28 17:53:48.300,28/10/2025,"17:53",,Dep. Rafael Prudente- Anexo: 4 Gabinete: 260
2064267,4,Anexo IV - A,2025-10-28 17:54:24.687,28/10/2025,"17:54",,Plenário 09  
2064268,5,Chapelaria,2025-10-28 17:54:24.737,28/10/2025,"17:54",,Dep. Bohn Gass- Anexo: 3 Gabinete: 873
2064257,4,Anexo IV - A,2025-10-28 17:49:51.277,28/10/2025,"17:49",,Dep. Bruno Ganem- Anexo: 4 Gabinete: 201
2064258,4,Anexo IV - A,2025-10-28 17:49:58.557,28/10/2025,"17:49",,Dep. Bruno Farias- Anexo: 4 Gabinete: 637
2064259,4,Anexo IV - A,2025-10-28 17:49:59.063,28/10/2025,"17:49",,Dep. Bruno Ganem- Anexo: 4 Gabinete: 201
2064260,4,Anexo IV - A,2025-10-28 17:52:01.847,28/10/2025,"17:52",,Dep. Renata Abreu- Anexo: 4 Gabinete: 717
2064261,3,Anexo III,2025-10-28 17:52:18.077,28/10/2025,"17:52",,Dep. Emanuel Pinheiro Neto- Anexo: 3 Gabinete: 678
2064262,3,Anexo III,2025-10-28 17:52:54.567,28/10/2025,"17:52",,Dep. Emanuel Pinheiro Neto- Anexo: 3 Gabinete: 678
2064251,8,Anexo IV - G,2025-10-28 17:46:47.493,28/10/2025,"17:46",,Dep. Geovania de Sá- Anexo: 4 Gabinete: 418
2064252,3,Anexo III,2025-10-28 17:46:52.477,28/10/2025,"17:46",8,Plenário 8
2064253,5,Chapelaria,2025-10-28 17:47:40.477,28/10/2025,"17:47",,Liderança PSD
2064254,4,Anexo IV - A,2025-10-28 17:49:12.553,28/10/2025,"17:49",,Dep. Rafael Prudente- Anexo: 4 Gabinete: 260
2064255,4,Anexo IV - A,2025-10-28 17:49:25.523,28/10/2025,"17:49",25,Restaurante SENAC
2064256,3,Anexo III,2025-10-28 17:49:32.847,28/10/2025,"17:49",,Dep. Emanuel Pinheiro Neto- Anexo: 3 Gabinete: 678
2064245,2,Anexo II - A,2025-10-28 17:45:43.087,28/10/2025,"17:45",13,Plenário 13
2064246,2,Anexo II - A,2025-10-28 17:45:43.773,28/10/2025,"17:45",13,Plenário 13
2064247,5,Chapelaria,2025-10-28 17:45:50.947,28/10/2025,"17:45",,CMO
2064248,2,Anexo II - A,2025-10-28 17:46:07.117,28/10/2025,"17:46",13,Plenário 13
2064249,4,Anexo IV - A,2025-10-28 17:46:09.143,28/10/2025,"17:46",,Dep. Juliana Cardoso- Anexo: 4 Gabinete: 411
2064250,8,Anexo IV - G,2025-10-28 17:46:23.993,28/10/2025,"17:46",,banheiro
2064239,4,Anexo IV - A,2025-10-28 17:43:25.583,28/10/2025,"17:43",,Banheiro
2064240,4,Anexo IV - A,2025-10-28 17:43:34.477,28/10/2025,"17:43",,Dep. Luiz Couto- Anexo: 4 Gabinete: 442
2064241,1,Anexo I,2025-10-28 17:44:09.717,28/10/2025,"17:44",,PT
2064242,4,Anexo IV - A,2025-10-28 17:45:04.227,28/10/2025,"17:45",,Dep. Zucco- Anexo: 4 Gabinete: 962
2064243,3,Anexo III,2025-10-28 17:45:20.627,28/10/2025,"17:45",,Dep. Antonio Carlos Rodrigues- Anexo: 3 Gabinete: 683
2064244,5,Chapelaria,2025-10-28 17:45:29.147,28/10/2025,"17:45",,CMO
2064233,4,Anexo IV - A,2025-10-28 17:41:26.017,28/10/2025,"17:41",,Dep. Fausto Pinato- Anexo: 4 Gabinete: 562
2064234,4,Anexo IV - A,2025-10-28 17:41:30.347,28/10/2025,"17:41",,Dep. Dandara- Anexo: 4 Gabinete: 233
2064235,4,Anexo IV - A,2025-10-28 17:42:00.740,28/10/2025,"17:42",,Dep. Cleber Verde- Anexo: 4 Gabinete: 710
2064236,3,Anexo III,2025-10-28 17:42:10.847,28/10/2025,"17:42",8,Plenário 8
2064237,4,Anexo IV - A,2025-10-28 17:42:50.510,28/10/2025,"17:42",,banheiro 
2064238,3,Anexo III,2025-10-28 17:43:17.813,28/10/2025,"17:43",,COMISSÃO AGRICULTURA
2064227,4,Anexo IV - A,2025-10-28 17:40:08.253,28/10/2025,"17:40",,Liderança Podemos
2064228,4,Anexo IV - A,2025-10-28 17:40:27.990,28/10/2025,"17:40",,Dep. Lenir de Assis- Anexo: 4 Gabinete: 232
2064229,4,Anexo IV - A,2025-10-28 17:40:33.543,28/10/2025,"17:40",,Podemos 
2064230,4,Anexo IV - A,2025-10-28 17:40:50.503,28/10/2025,"17:40",,Dep. Lenir de Assis- Anexo: 4 Gabinete: 232
2064231,4,Anexo IV - A,2025-10-28 17:41:05.010,28/10/2025,"17:41",,Dep. Alexandre Guimarães- Anexo: 4 Gabinete: 941
2064232,3,Anexo III,2025-10-28 17:41:24.433,28/10/2025,"17:41",,Dep. Antonio Brito- Anexo: 3 Gabinete: 985
2064221,4,Anexo IV - A,2025-10-28 17:39:16.567,28/10/2025,"17:39",,Dep. Rodrigo Rollemberg- Anexo: 4 Gabinete: 542
2064222,2,Anexo II - A,2025-10-28 17:39:20.480,28/10/2025,"17:39",,LIDERNÇA PSDB
2064223,4,Anexo IV - A,2025-10-28 17:39:21.330,28/10/2025,"17:39",,Dep. Rodrigo Rollemberg- Anexo: 4 Gabinete: 542
2064224,4,Anexo IV - A,2025-10-28 17:39:33.317,28/10/2025,"17:39",,liderança podemos
2064225,4,Anexo IV - A,2025-10-28 17:39:56.780,28/10/2025,"17:39",,liderança podemos
2064226,5,Chapelaria,2025-10-28 17:40:06.197,28/10/2025,"17:40",,Liderança PL
2064215,5,Chapelaria,2025-10-28 17:37:26.570,28/10/2025,"17:37",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064216,5,Chapelaria,2025-10-28 17:37:31.747,28/10/2025,"17:37",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064217,5,Chapelaria,2025-10-28 17:38:23.757,28/10/2025,"17:38",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064218,5,Chapelaria,2025-10-28 17:38:28.543,28/10/2025,"17:38",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064219,4,Anexo IV - A,2025-10-28 17:39:06.987,28/10/2025,"17:39",,Dep. Rodrigo Rollemberg- Anexo: 4 Gabinete: 542
2064220,5,Chapelaria,2025-10-28 17:39:14.610,28/10/2025,"17:39",,Liderança PL
2064209,3,Anexo III,2025-10-28 17:35:57.943,28/10/2025,"17:35",,Dep. Juarez Costa- Anexo: 3 Gabinete: 871
2064210,5,Chapelaria,2025-10-28 17:36:03.773,28/10/2025,"17:36",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064211,2,Anexo II - A,2025-10-28 17:36:05.120,28/10/2025,"17:36",19,Biblioteca - CEDI
2064212,5,Chapelaria,2025-10-28 17:36:36.683,28/10/2025,"17:36",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064213,5,Chapelaria,2025-10-28 17:36:38.773,28/10/2025,"17:36",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064214,4,Anexo IV - A,2025-10-28 17:37:25.230,28/10/2025,"17:37",,Dep. Dandara- Anexo: 4 Gabinete: 233
2064202,2,Anexo II - A,2025-10-28 17:31:21.573,28/10/2025,"17:31",9,Plenário 9
2064204,4,Anexo IV - A,2025-10-28 17:32:01.307,28/10/2025,"17:32",,Dep. Merlong Solano- Anexo: 4 Gabinete: 624
2064205,4,Anexo IV - A,2025-10-28 17:32:06.043,28/10/2025,"17:32",,Dep. Gustavo Gayer- Anexo: 4 Gabinete: 737
2064206,4,Anexo IV - A,2025-10-28 17:32:32.073,28/10/2025,"17:32",,Dep. Castro Neto- Anexo: 4 Gabinete: 803
2064207,3,Anexo III,2025-10-28 17:35:28.797,28/10/2025,"17:35",,Dep. Juarez Costa- Anexo: 3 Gabinete: 871
2064208,5,Chapelaria,2025-10-28 17:35:56.957,28/10/2025,"17:35",,Dep. Professora Luciene Cavalcante- Anexo: 4 Gabinete: 617
2064196,2,Anexo II - A,2025-10-28 17:30:01.113,28/10/2025,"17:30",,CORREGEDORIA
2064197,2,Anexo II - A,2025-10-28 17:30:43.080,28/10/2025,"17:30",,CORREGEDORIA
2064198,2,Anexo II - A,2025-10-28 17:30:45.703,28/10/2025,"17:30",,Liderança PDT
2064199,1,Anexo I,2025-10-28 17:31:12.647,28/10/2025,"17:31",,"11 andar"
2064200,2,Anexo II - A,2025-10-28 17:31:18.150,28/10/2025,"17:31",,CORREGEDORIA
2064201,4,Anexo IV - A,2025-10-28 17:31:19.560,28/10/2025,"17:31",,Liderança PL
2064188,3,Anexo III,2025-10-28 17:26:36.270,28/10/2025,"17:26",20,Restaurante
2064189,3,Anexo III,2025-10-28 17:27:00.587,28/10/2025,"17:27",22,DEMED
2064192,3,Anexo III,2025-10-28 17:28:17.167,28/10/2025,"17:28",1,Plenário 1
2064193,5,Chapelaria,2025-10-28 17:28:20.233,28/10/2025,"17:28",,Dep. Coronel Meira- Anexo: 3 Gabinete: 474
2064194,5,Chapelaria,2025-10-28 17:28:31.740,28/10/2025,"17:28",29,Salão Verde
2064195,2,Anexo II - A,2025-10-28 17:29:56.497,28/10/2025,"17:29",,Corregedoria
2064182,4,Anexo IV - A,2025-10-28 17:23:00.703,28/10/2025,"17:23",,Dep. Paulo Guedes- Anexo: 4 Gabinete: 833
2064183,3,Anexo III,2025-10-28 17:25:34.243,28/10/2025,"17:25",,Dep. Bohn Gass- Anexo: 3 Gabinete: 873
2064184,4,Anexo IV - A,2025-10-28 17:25:38.507,28/10/2025,"17:25",,Dep. Arnaldo Jardim- Anexo: 4 Gabinete: 245
2064185,4,Anexo IV - A,2025-10-28 17:25:39.520,28/10/2025,"17:25",,Dep. Arnaldo Jardim- Anexo: 4 Gabinete: 245
2064186,4,Anexo IV - A,2025-10-28 17:25:44.277,28/10/2025,"17:25",,Dep. Arnaldo Jardim- Anexo: 4 Gabinete: 245
2064187,2,Anexo II - A,2025-10-28 17:26:24.203,28/10/2025,"17:26",,Liderança PSOL
2064176,4,Anexo IV - A,2025-10-28 17:21:46.323,28/10/2025,"17:21",24,Caixa Econômica
2064177,3,Anexo III,2025-10-28 17:22:11.860,28/10/2025,"17:22",,Dep. Icaro de Valmir- Anexo: 3 Gabinete: 129
2064178,2,Anexo II - A,2025-10-28 17:22:25.507,28/10/2025,"17:22",15,Plenário 15
2064179,4,Anexo IV - A,2025-10-28 17:22:28.053,28/10/2025,"17:22",,Dep. Félix Mendonça Júnior- Anexo: 4 Gabinete: 912
2064180,3,Anexo III,2025-10-28 17:22:56.307,28/10/2025,"17:22",,LANCHONETE
2064181,2,Anexo II - A,2025-10-28 17:22:56.983,28/10/2025,"17:22",17,Plenário 17
2064170,3,Anexo III,2025-10-28 17:19:28.697,28/10/2025,"17:19",,Dep. Jorge Solla- Anexo: 3 Gabinete: 134
2064171,2,Anexo II - A,2025-10-28 17:19:46.357,28/10/2025,"17:19",,Dep. Odair Cunha- Anexo: 4 Gabinete: 556
2064172,3,Anexo III,2025-10-28 17:20:07.613,28/10/2025,"17:20",,Dep. Jorge Solla- Anexo: 3 Gabinete: 134
2064173,5,Chapelaria,2025-10-28 17:20:13.717,28/10/2025,"17:20",,Dep. Airton Faleiro- Anexo: 4 Gabinete: 327
2064174,5,Chapelaria,2025-10-28 17:20:46.473,28/10/2025,"17:20",51,Salão Branco
2064175,3,Anexo III,2025-10-28 17:20:59.193,28/10/2025,"17:20",,Dep. Icaro de Valmir- Anexo: 3 Gabinete: 129
2064164,4,Anexo IV - A,2025-10-28 17:18:05.853,28/10/2025,"17:18",,Dep. Zucco- Anexo: 4 Gabinete: 962
2064165,2,Anexo II - A,2025-10-28 17:18:11.977,28/10/2025,"17:18",19,Biblioteca - CEDI
2064166,2,Anexo II - A,2025-10-28 17:18:13.830,28/10/2025,"17:18",18,Auditório Nereu Ramos
2064167,4,Anexo IV - A,2025-10-28 17:18:27.360,28/10/2025,"17:18",,Dep. Rafael Prudente- Anexo: 4 Gabinete: 260
2064168,2,Anexo II - A,2025-10-28 17:18:42.793,28/10/2025,"17:18",8,Plenário 8
2064169,3,Anexo III,2025-10-28 17:18:57.083,28/10/2025,"17:18",,Dep. Paulão- Anexo: 3 Gabinete: 671
2064157,5,Chapelaria,2025-10-28 17:15:29.167,28/10/2025,"17:15",39,Primeira Vice-Presidência
2064159,2,Anexo II - A,2025-10-28 17:16:10.580,28/10/2025,"17:16",,Dep. Daiana Santos- Anexo: 4 Gabinete: 901
2064160,5,Chapelaria,2025-10-28 17:16:12.597,28/10/2025,"17:16",,Dep. Baleia Rossi- Anexo: 4 Gabinete: 829
2064161,4,Anexo IV - A,2025-10-28 17:16:15.873,28/10/2025,"17:16",,Dep. João Daniel- Anexo: 4 Gabinete: 605
2064162,3,Anexo III,2025-10-28 17:17:20.880,28/10/2025,"17:17",,Dep. Jorge Solla- Anexo: 3 Gabinete: 134
2064163,3,Anexo III,2025-10-28 17:17:49.767,28/10/2025,"17:17",,Dep. Jorge Solla- Anexo: 3 Gabinete: 134
2064151,4,Anexo IV - A,2025-10-28 17:13:26.227,28/10/2025,"17:13",,Dep. Ricardo Abrão- Anexo: 4 Gabinete: 507
